timesteps,datetime,temperature,SHORT,NOISE,CONSTANT
0,2004-02-28 01:08:16.776717,19.567,False,False,False
1,2004-02-28 01:38:16.776717,19.4788,False,False,False
2,2004-02-28 02:08:16.776717,19.322,False,False,False
3,2004-02-28 02:38:16.776717,19.2142,False,False,False
4,2004-02-28 03:08:16.776717,18.9692,False,False,False
5,2004-02-28 03:38:16.776717,18.832,False,False,False
6,2004-02-28 04:08:16.776717,18.6752,False,False,False
7,2004-02-28 04:38:16.776717,18.4204,False,False,False
8,2004-02-28 05:08:16.776717,18.2832,False,False,False
9,2004-02-28 05:38:16.776717,18.1264,False,False,False
10,2004-02-28 06:08:16.776717,18.0676,False,False,False
11,2004-02-28 06:38:16.776717,17.9304,False,False,False
12,2004-02-28 07:08:16.776717,17.8422,False,False,False
13,2004-02-28 07:38:16.776717,18.146,False,False,False
14,2004-02-28 08:08:16.776717,18.6164,False,False,False
15,2004-02-28 08:38:16.776717,19.5768,False,False,False
16,2004-02-28 09:08:16.776717,20.4,False,False,False
17,2004-02-28 09:38:16.776717,21.429,False,False,False
18,2004-02-28 10:08:16.776717,22.2032,False,False,False
19,2004-02-28 10:38:16.776717,22.7814,False,False,False
20,2004-02-28 11:08:16.776717,23.2224,False,False,False
21,2004-02-28 11:38:16.776717,23.3204,False,False,False
22,2004-02-28 12:08:16.776717,23.5654,False,False,False
23,2004-02-28 12:38:16.776717,23.6536,False,False,False
24,2004-02-28 13:08:16.776717,24.0456,False,False,False
25,2004-02-28 13:38:16.776717,23.928,False,False,False
26,2004-02-28 14:08:16.776717,23.8398,False,False,False
27,2004-02-28 14:38:16.776717,23.3988,False,False,False
28,2004-02-28 15:08:16.776717,23.4184,False,False,False
29,2004-02-28 15:38:16.776717,23.193,False,False,False
30,2004-02-28 16:08:16.776717,22.6932,False,False,False
31,2004-02-28 16:38:16.776717,22.2718,False,False,False
32,2004-02-28 17:08:16.776717,21.9778,False,False,False
33,2004-02-28 17:38:16.776717,21.6446,False,False,False
34,2004-02-28 18:08:16.776717,21.4192,False,False,False
35,2004-02-28 18:38:16.776717,21.1448,False,False,False
36,2004-02-28 19:08:16.776717,20.9488,False,False,False
37,2004-02-28 19:38:16.776717,20.8508,False,False,False
38,2004-02-28 20:08:16.776717,20.7528,False,False,False
39,2004-02-28 20:38:16.776717,20.5862,False,False,False
40,2004-02-28 21:08:16.776717,20.5176,False,False,False
41,2004-02-28 21:38:16.776717,20.351,False,False,False
42,2004-02-28 22:08:16.776717,20.1354,False,False,False
43,2004-02-28 22:38:16.776717,20.008,False,False,False
44,2004-02-28 23:08:16.776717,19.8512,False,False,False
45,2004-02-28 23:38:16.776717,19.7434,False,False,False
46,2004-02-29 00:08:16.776717,19.567,False,False,False
47,2004-02-29 00:38:16.776717,19.42,False,False,False
48,2004-02-29 01:08:16.776717,19.2044,False,False,False
49,2004-02-29 01:38:16.776717,19.0672,False,False,False
50,2004-02-29 02:08:16.776717,18.9202,False,False,False
51,2004-02-29 02:38:16.776717,18.7536,False,False,False
52,2004-02-29 03:08:16.776717,18.587,False,False,False
53,2004-02-29 03:38:16.776717,18.4792,False,False,False
54,2004-02-29 04:08:16.776717,18.4008,False,False,False
55,2004-02-29 04:38:16.776717,18.2636,False,False,False
56,2004-02-29 05:08:16.776717,18.1656,False,False,False
57,2004-02-29 05:38:16.776717,18.0578,False,False,False
58,2004-02-29 06:08:16.776717,17.8618,False,False,False
59,2004-02-29 06:38:16.776717,17.8912,False,False,False
60,2004-02-29 07:08:16.776717,17.852,False,False,False
61,2004-02-29 07:38:16.776717,17.8324,False,False,False
62,2004-02-29 08:08:16.776717,18.048,False,False,False
63,2004-02-29 08:38:16.776717,18.783,False,False,False
64,2004-02-29 09:08:16.776717,19.9296,False,False,False
65,2004-02-29 09:38:16.776717,20.302,False,False,False
66,2004-02-29 10:08:16.776717,20.008,False,False,False
67,2004-02-29 10:38:16.776717,20.645,False,False,False
68,2004-02-29 11:08:16.776717,20.9684,False,False,False
69,2004-02-29 11:38:16.776717,21.0664,False,False,False
